remark,"CSV-Import-Export"
remark,"Date = Thu Dec 11 11:43:51 2025"
remark,"Version = RSLogix 5000 v32.04"
remark,"Owner = ACCsupport"
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,ENETBRIDGE_1769:1:I,"*** Generated by Migration Tool: Data and descriptions were not carried over to the migrated I/O module.  Please manually move data and descriptions to the desired tag. *** ","AB:1769_DI16:I:0","","(ExternalAccess := Read/Write)"
ALIAS,,B,"","","B3[0]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,B11,"","DINT[1]","","(RADIX := Binary, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,B11,"Pull Station 7 Zone 1",,"B11[0].0"
COMMENT,,B11,"Pull Station 8 Zone 1",,"B11[0].1"
TAG,,B14,"","DINT[1]","","(RADIX := Binary, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,B14,"Pull Station 10 from Office Plc Zone 1",,"B14[0].0"
COMMENT,,B14,"Pull Station 9 From Office PLC Zone 2",,"B14[0].1"
TAG,,B3,"","DINT[12]","","(RADIX := Binary, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,B3,"Strobe Light On",,"B3[0]"
COMMENT,,B3,"Fire Alarm Zone 1",,"B3[0].0"
COMMENT,,B3,"Fire Eye Faulted Zone 1",,"B3[0].1"
COMMENT,,B3,"Fire Eye Faulted Zone 2",,"B3[0].3"
COMMENT,,B3,"Fire Detected Zone 2 Fire Eyes. Single Detector Only",,"B3[0].4"
COMMENT,,B3,"Fire Detected Zone 1 Fire Eyes. Single Detector Only",,"B3[0].5"
COMMENT,,B3,"Plant ESD",,"B3[0].6"
COMMENT,,B3,"Fire Eye Failure Warning",,"B3[0].8"
COMMENT,,B3,"Fire Alarm Zone 2",,"B3[0].11"
COMMENT,,B3,"Fire System Deluge Valve Open",,"B3[0].12"
COMMENT,,B3,"Always False",,"B3[0].15"
COMMENT,,B3,"Horn On",,"B3[1]"
COMMENT,,B3,"Fire at Butane Tanks",,"B3[1].7"
COMMENT,,B3,"Fire Eye Failure",,"B3[1].8"
COMMENT,,B3,"Fire System Pressure Switch",,"B3[1].9"
COMMENT,,B3,"Plant ESD",,"B3[2]"
COMMENT,,B3,"Fire Eye 1 Fire Detected",,"B3[3].0"
COMMENT,,B3,"Fire Eye 2 Fire Detected",,"B3[3].1"
COMMENT,,B3,"Fire Eye 3 Fire Detected",,"B3[3].2"
COMMENT,,B3,"Fire Eye 4 Fire Detected",,"B3[3].3"
COMMENT,,B3,"Fire Eye 5 Fire Detected",,"B3[3].4"
COMMENT,,B3,"Fire Eye 6 Fire Detected",,"B3[3].5"
COMMENT,,B3,"Fire Eye 7 Fire Detected",,"B3[3].6"
COMMENT,,B3,"Fire Eye 8 Fire Detected",,"B3[3].7"
COMMENT,,B3,"FE 1 Failure Alarm",,"B3[3].8"
COMMENT,,B3,"FE 2 Failure Alarm",,"B3[3].9"
COMMENT,,B3,"FE 3 Failure Alarm",,"B3[3].10"
COMMENT,,B3,"FE 4 Failure Alarm",,"B3[3].11"
COMMENT,,B3,"FE 5 Failure Alarm",,"B3[3].12"
COMMENT,,B3,"FE 6 Failure Alarm",,"B3[3].13"
COMMENT,,B3,"FE 7 Failure Alarm",,"B3[3].14"
